States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total
Mizoram,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,10 - Procuration of minor girls (Section 366-A IPC),2014,30,2,32,111,2,113,24,0,24,0,0,0,24,0,24
Punjab,10 - Procuration of minor girls (Section 366-A IPC),2014,3,1,4,5,2,7,2,1,3,1,0,1,1,1,2
Rajasthan,10 - Procuration of minor girls (Section 366-A IPC),2014,36,0,36,112,0,112,10,0,10,4,0,4,3,0,3
Sikkim,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,20,0,20,10,0,10,0,0,0,10,0,10
Telangana,10 - Procuration of minor girls (Section 366-A IPC),2014,33,0,33,81,0,81,28,0,28,0,0,0,23,0,23
Tripura,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,2,0,2,2,0,2,2,0,2,0,0,0
Uttarakhand,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,5,0,5,1,0,1,1,0,1,0,0,0
West Bengal,10 - Procuration of minor girls (Section 366-A IPC),2014,886,13,899,1373,27,1400,75,2,77,2,0,2,73,2,75
A & N Islands,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Lakshadweep,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),10 - Procuration of minor girls (Section 366-A IPC),2014,1948,19,1967,3305,52,3357,295,3,298,33,0,33,254,3,257
Total (UTs),10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Total (All India),10 - Procuration of minor girls (Section 366-A IPC),2014,1948,19,1967,3306,52,3358,295,3,298,33,0,33,254,3,257
Andhra Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chhattisgarh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maharashtra,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manipur,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telangana,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttarakhand,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,4,2,6,3,1,4,0,0,0,0,0,0,0,0,0
A & N Islands,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,4,2,6,3,1,4,0,0,0,0,0,0,0,0,0
Total (UTs),11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All India),11 - Importation of Girls from Foreign Country (Section 366-B IPC),2014,4,2,6,3,1,4,0,0,0,0,0,0,0,0,0
Andhra Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arunachal Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,3,0,3,1,0,1,0,0,0,0,0,0
Chhattisgarh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goa,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,12 - Buying of minors for prostitution (Section 373 IPC),2014,1,1,2,4,1,5,0,0,0,0,0,0,0,0,0
Himachal Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,12 - Buying of minors for prostitution (Section 373 IPC),2014,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,1,0,1,6,0,6,0,0,0,0,0,0,0,0,0
Maharashtra,12 - Buying of minors for prostitution (Section 373 IPC),2014,9,0,9,233,0,233,0,0,0,0,0,0,0,0,0
Manipur,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
Sikkim,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telangana,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tripura,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
Uttarakhand,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,12 - Buying of minors for prostitution (Section 373 IPC),2014,15,0,15,26,0,26,0,0,0,0,0,0,0,0,0
A & N Islands,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),12 - Buying of minors for prostitution (Section 373 IPC),2014,30,1,31,281,1,282,1,0,1,0,0,0,0,0,0
Total (UTs),12 - Buying of minors for prostitution (Section 373 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (All India),12 - Buying of minors for prostitution (Section 373 IPC),2014,30,1,31,281,1,282,1,0,1,0,0,0,0,0,0
Andhra Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,14,0,14,8,0,8,0,0,0,8,0,8
Arunachal Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bihar,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0
Chhattisgarh,13 - Selling of minors for prostitution (Section 372 IPC),2014,2,3,5,2,3,5,0,0,0,0,0,0,0,0,0
Goa,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haryana,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Himachal Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Karnataka,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kerala,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,4,0,4,38,0,38,13,0,13,0,0,0,4,0,4
Maharashtra,13 - Selling of minors for prostitution (Section 372 IPC),2014,4,0,4,63,2,65,0,2,2,0,0,0,0,1,1
Manipur,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mizoram,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nagaland,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rajasthan,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,10,0,10,9,0,9,0,0,0,9,0,9
Sikkim,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Telangana,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0
Tripura,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uttar Pradesh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,35,0,35,1,0,1,1,0,1,0,0,0
Uttarakhand,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Bengal,13 - Selling of minors for prostitution (Section 372 IPC),2014,82,7,89,374,7,381,6,0,6,1,0,1,5,0,5
A & N Islands,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandigarh,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D&N Haveli,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,13 - Selling of minors for prostitution (Section 372 IPC),2014,2,5,7,5,8,13,1,2,3,1,2,3,0,0,0
Lakshadweep,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,13 - Selling of minors for prostitution (Section 372 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),13 - Selling of minors for prostitution (Section 372 IPC),2014,92,10,102,563,12,575,37,2,39,2,0,2,26,1,27
Total (UTs),13 - Selling of minors for prostitution (Section 372 IPC),2014,2,5,7,5,8,13,1,2,3,1,2,3,0,0,0
Total (All India),13 - Selling of minors for prostitution (Section 372 IPC),2014,94,15,109,568,20,588,38,4,42,3,2,5,26,1,27
Andhra Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,29,5,34,72,3,75,9,0,9,0,0,0,8,0,8
Arunachal Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assam,"14 - Prohibition of Child Marriage Act, 2006",2014,4,0,4,2,0,2,0,0,0,0,0,0,0,0,0
Bihar,"14 - Prohibition of Child Marriage Act, 2006",2014,10,0,10,32,0,32,7,0,7,2,0,2,5,0,5
Chhattisgarh,"14 - Prohibition of Child Marriage Act, 2006",2014,4,0,4,4,0,4,0,0,0,0,0,0,0,0,0
Goa,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0
Gujarat,"14 - Prohibition of Child Marriage Act, 2006",2014,51,25,76,475,62,537,117,5,122,7,2,9,110,3,113
Haryana,"14 - Prohibition of Child Marriage Act, 2006",2014,15,1,16,40,2,42,14,2,16,5,1,6,9,1,10
Himachal Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,11,7,18,41,9,50,10,0,10,0,0,0,10,0,10
Jammu & Kashmir,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jharkhand,"14 - Prohibition of Child Marriage Act, 2006",2014,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0
Karnataka,"14 - Prohibition of Child Marriage Act, 2006",2014,58,8,66,144,12,156,36,3,39,3,0,3,32,3,35
Kerala,"14 - Prohibition of Child Marriage Act, 2006",2014,34,7,41,59,8,67,2,0,2,0,0,0,2,0,2
Madhya Pradesh,"14 - Prohibition of Child Marriage Act, 2006",2014,47,11,58,111,19,130,10,2,12,3,1,4,7,1,8
Maharashtra,"14 - Prohibition of Child Marriage Act, 2006",2014,54,18,72,542,120,662,61,7,68,0,0,0,61,7,68
Manipur,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,"14 - Prohibition of Child Marriage Act, 2006",2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
